pid,smiles,tens_mod_clean
P430107,*c%10cccc(C(=O)Nc9ccc(Oc6ccc(NC(=O)c5cccc(n4c(=O)c3ccc(c2ccc1c(=O)n(*)c(=O)c1c2)cc3c4=O)c5)cc6)cc9)c%10,3.1381
P100069,*NC(=O)c1cc(C(=O)NCCCCCC*)ccc1,3.1381
P402351,*C(=O)Nc6cccc(NC(=O)c5ccc4[nH]c(c3ccc(c2nc1cc(*)ccc1[nH]2)cc3)nc4c5)c6,3.1
P373017,*C(=O)c5cc(C(=O)Nc2ccc(Oc1ccc(N*)cc1)cc2)cc(NC(=O)CCn4c(=O)c3ccccc3c4=O)c5,3.1
P373303,*c1ccc(NC(=O)c2ccc(OCCOCCOc3ccc(C(=O)Nc5ccc4[nH]c(*)nc4c5)cc3)cc2)cc1,3.1
P432656,*n4c(=O)c3ccc(C(=O)Nc1cc(C#Cc2cc(*)ccc2)ccc1)cc3c4=O,3.0999999999999996
P430103,*c%10cccc(C(=O)Nc9ccc(Oc8ccc(Oc7ccc(Oc6ccc(NC(=O)c5cccc(n4c(=O)c3ccc(c2ccc1c(=O)n(*)c(=O)c1c2)cc3c4=O)c5)cc6)cc7)cc8)cc9)c%10,3.0695
P402071,*Nc1ccc(C(C(F)(F)F)(C(F)(F)F)c2ccc(NC(=O)c3ccc(c4ccc(C(=O)*)c(C)c4)cc3C)cc2)cc1,3.0695
P430106,*c%10cccc(C(=O)Nc9ccc(Oc8cc(Oc6ccc(NC(=O)c5cccc(n4c(=O)c3ccc(c2ccc1c(=O)n(*)c(=O)c1c2)cc3c4=O)c5)cc6)ccc8)cc9)c%10,3.0204
P130126,*c6cccc(C(=O)Nc5cccc(n4c(=O)c3ccc(C(=O)c2ccc1c(=O)n(*)c(=O)c1c2)cc3c4=O)c5)c6,3.02
P430045,*c4ccc(Oc3ccc(NC(=O)c2ccc1c(=O)n(*)c(=O)c1c2)cc3)cc4,3.0
P402356,*C(=O)Nc7cc(C(=O)Nc6cccc(NC(=O)c5ccc4[nH]c(c3cc(c2nc1cc(*)ccc1[nH]2)ccc3)nc4c5)c6)ccc7,3.0
P432109,*C(=O)Nc%11ccc(Sc%12ccc(NC(=O)c8ccc7c(=O)n(c6ccc(c4sc(c3ccc(n2c(=O)c1ccc(*)cc1c2=O)cc3)c(c%17ccccc%17)c4c5ccccc5)cc6)c(=O)c7c8)cc%12)cc%11,2.99
P430102,*c%10cccc(C(=O)Nc9ccc(Oc8ccc(c7ccc(Oc6ccc(NC(=O)c5cccc(n4c(=O)c3ccc(c2ccc1c(=O)n(*)c(=O)c1c2)cc3c4=O)c5)cc6)cc7)cc8)cc9)c%10,2.9616
P430110,*c%10ccc(C(=O)Nc9cccc(Oc8ccc(S(=O)(=O)c7ccc(Oc6cccc(NC(=O)c5ccc(n4c(=O)c3ccc(c1cccc2c(=O)n(*)c(=O)c12)cc3c4=O)cc5)c6)cc7)cc8)c9)cc%10,2.942
P430101,*c%10cccc(C(=O)Nc9ccc(Oc8ccc(S(=O)(=O)c7ccc(Oc6ccc(NC(=O)c5cccc(n4c(=O)c3ccc(c2ccc1c(=O)n(*)c(=O)c1c2)cc3c4=O)c5)cc6)cc7)cc8)cc9)c%10,2.9126
P402350,*c5ccc(C(=O)Nc4cccc(C(=O)Nc3cccc(NC(=O)c2ccc1[nH]c(*)nc1c2)c3)c4)cc5,2.9
P402348,*c4ccc(C(=O)Nc3cccc(NC(=O)c2ccc1[nH]c(*)nc1c2)c3)cc4,2.9
