*C=C*,30.0001885
*CC=C*,7.32145
*CCC=C*,0.218
*CC(C)CC=C*,0.174
*CC(=C)C*,0.14300000000000002
*C#C*,0.645
*C=CC1=CC=CC=C1*,0.60012
*C=CC1=CC=CC=C1Cl*,0.226
*C=CC1=CC=C(C=C1)Cl*,0.202
*C=CC1=CC=C(C=C1)O*,0.30000000000000004
*C=CO*,0.28080000000000005
*C=CC#N*,0.158
*C=CN1C2=CC=CC=C2C3=CC=CC=C31*,0.14
*CC(=O)OC=C*,0.1121
*COC(=O)C=C*,0.20265
*CCOC(=O)C=C*,0.214
*CCCCOC(=O)C=C*,0.20600000000000002
*CC(=C)C(=O)OC*,0.20265000000000002
*CCOC(=O)C(=C)C*,0.1595
*CCCCOC(=O)C(=C)C*,0.1965
*CC(C)COC(=O)C(=C)C*,0.0467
*C=CCl*,1.3568
*C=C(F)F*,0.8250000000000001
*C(=C(F)F)(F)F*,2.500055
*C(=C(F)Cl)(F)F*,26.50162
*C=CC(=C)Cl*,0.163
*C=O*,1.347
*C1CO1*,0.45499999999999996
*CC(CO)O*,0.381
*CC1=C(C(=CC=C1)C)O*,0.154
*C1=CC2=CC=C1S2*,9.0495
*C1=CC=C2C(=C1)N=C(S2)C3=CC=C(C=C3)C4=NC5=CC=CC=C5S4*,13.0
*C1COC(=O)C2=CC=C(C=C2)C(=O)O1*,0.7031999999999999
*C1COC(=O)C2=CC3=C(C=C2)C=C(C=C3)C(=O)O1*,0.00036
*C1CCC(=O)OCC1*,0.26549999999999996
*CC(C(=O)O)O*,13.5
*C1CCC(=O)NCC1*,16.171499999999998
*C(CCCCCN)CCCCC(=O)O*,0.3527
*C[C@@H](C(=O)O)N*,0.203
*CC[Si](CC)O*,0.1551
*C(C(C#N)Br)Br*,0.4
*CCCCOC(=O)NC(=O)OCCCCC#CC#CCCCCOC(=O)NC(=O)OCCCC*,1.115
*C#CC#C*,0.5988
*C(C1[C@H](C(C(C(O1)O)O)O)O[C@H]2C(C(C(C(O2)CO)O)O)O)O*,1.7375
*C1=CC=C2C(=C1)C=CO2*,0.1315
*C1COC2=CSC=C2O1*,0.27
*CCCCC1=CSC=C1*,0.233
*C1=CNC=C1*,2.06075
*C1=CC=C(C=C1)N*,4.0203
