 *C(=O)NCCCCCCNC(=O)C1=COC=C(*)O1,77.0
 *NNC(=O)CCC(=O)NNC(=O)CCCCC(*)=O,285.0
 *CCCCNC(=O)c1ccc(C(=O)N*)c(Oc2ccccc2)c1,215.0
 *CCCCCCNC(=O)C(CCCCCCCCCCCCCCCCC)C(=O)N*,166.0
 *CCCCCCCCCCCCCCCCCCNC(=O)CCc1ccc(CCC(=O)N*)cc1,232.0
 *CCCNC(=O)C(OC)C(OC)C(=O)N*,254.2
 *CCCCCCNC(=O)CC(=O)N*,243.33333333333334
 *CCc1ccc(CCNC(=O)CCCCCCCCC(=O)N*)cc1,292.5
 *NC(CC)CC(*)=O,355.0
 *CC(C)(CCCC)C(=O)N*,72.0
 *CCC(=O)NCCCCCCNC(=O)CCS*,215.5
 *CCCCCCCCCCCCC(=O)N*,182.5
 *CCCCCC(=O)NCCCCCOCCCCCNC(=O)CCCCO*,98.5
 *CCCCCCCNC(=O)CCCCCCCCC(=O)N*,197.66666666666666
 *CCCCCCNC(=O)C(CCCCCC)C(=O)N*,144.5
 *CCCCCCCCc1nc2cc(NC(=O)CCCCC(=O)Nc3ccc4oc(*)nc4c3)ccc2o1,228.2
 *CCCC(=O)Nc1ccc(NC(=O)CCCOC(=O)c2cccc(C(=O)O*)c2)cc1,175.0
 *CCNC(=O)CCCCC(=O)NCCNC(=O)C(=O)N*,359.0
 *NC(C)C(=O)NCCCCCCCCCCC(*)=O,242.5
 *CCCCCCCCC(=O)NCc1ccc(CNC(=O)CCCCCCCCS*)cc1,214.0
 *CCCCC(=O)NCCc1ccc(CCNC(=O)CCCCS*)cc1,252.0
 *CCCCCCOC(=O)c1ccc(NC(=O)CCCCCCCCCCC(=O)Nc2ccc(C(=O)O*)cc2)cc1,203.5
 *CCCCCCCCNC(=O)CC(=O)N*,230.66666666666666
 *CCCCCCCNC(=O)C(OC)C(OC)C(=O)N*,209.0
 *CCNC(=O)CCCCCCCC(=O)NCCNC(=O)C(=O)N*,343.0
 *CCOCC(=O)NCCCCCCNC(=O)CO*,126.0
 *SCC(=O)N/N=C/c1ccc(OCCCCCCOc2ccc(/C=N/NC(=O)CSc3nnc(*)s3)cc2OC)c(OC)c1,158.0
 *CCCCCCNC(=O)CCc1ccc(CCC(=O)N*)cc1,299.0
 *c1ccc(NC(=O)CCCCCCC(=O)Nc2ccc(S(*)(=O)=O)cc2)cc1,192.0
 *C/C=C/COC(=O)C(Cc1ccccc1)NC(=O)/C=C/C(=O)NC(Cc1ccccc1)C(=O)O*,223.0
 *CCCCCCC(=O)NCCCCCCNC(=O)CCCCCCO*,170.0
 *CC1CC1CNC(=O)C1CC1C(=O)N*,220.0
 *CCCCCC(=O)NCCCCCCNC(=O)CCCO*,152.0
 *CCCCCCCCCCCOC(=O)c1ccc(C(=O)NCCCCNC(=O)c2ccc(C(=O)O*)cc2)cc1,248.0
 *Nc1cccc(/C=C/C(=O)/C=C/c2cccc(NC(=O)c3cccc(C(*)=O)c3)c2)c1,280.0
 *Cc1ccc(CNC(=O)CCCCCCCCCCCCC(=O)N*)cc1,257.0
 *CCCCCCCOC(=O)c1ccc(C(=O)NCCCCNC(=O)c2ccc(C(=O)O*)cc2)cc1,269.0
 *CCOCCOCCOc1cccc(NC(=O)c2ccc(C(=O)Nc3cccc(O*)c3)cc2)c1,265.0
 *CCCCCCNC(=O)Cc1ccc(C(=O)N*)cc1,227.0
 *CCCC(C)CNC(=O)CCCCCCCCCCC(=O)N*,190.0
 *C(=O)Nc1ccc(Oc2ccccc2-c2ccccc2Oc2ccc(NC(=O)c3ccc4c(c3)C(=O)N(c3ccc(Oc5cccc(Oc6ccc(N7C(=O)c8ccc(*)cc8C7=O)cc6)c5)cc3)C4=O)cc2)cc1,317.0
 *CCCCCCCCNC(=O)C(OC)C(OC)C(=O)N*,208.1
 *CCOC(=O)CCCCCNC(=O)c1ccc(C(=O)NCCCCCC(=O)O*)cc1,204.0
 *CCCCCCCCCCNC(=O)CCCCCCCC(=O)N*,206.75
 *Nc1ccccc1NC(=O)CCCCC(*)=O,162.0
 *c1ccc(OC(=O)c2cccc(C(=O)Oc3ccc(C4(*)C(=O)Nc5c(Cl)cc(Cl)cc54)cc3)c2)cc1,400.0
 *CCCCCCC(=O)NCc1ccc(CNC(=O)CCCCCCO*)cc1,229.0
 *CCCCCNC(=O)CCCCCCCCCC(=O)N*,173.0
 *CCCCCCCCCCOC(=O)CCCCCNC(=O)CCCCC(=O)NCCCCCC(=O)O*,137.0
 *Nc1ccc(/C=C/C(*)=O)cc1,228.5
 *CCCCCCCCCCOC(=O)c1ccc(C(=O)NCCCCCCNC(=O)c2ccc(C(=O)O*)cc2)cc1,235.0
 *CC(=O)NCCCCCCNC(=O)COc1ccc(O*)cc1,239.0
 *CC(=O)NCCCCCCNC(=O)CCc1ccc(O*)cc1,226.0
 *CCCCNC(=O)c1ccc(C(=O)N*)c(Sc2ccccc2)c1,283.0
 *CCOCCOc1ccc(NC(=O)c2ccc(C(=O)Nc3ccc(O*)cc3)cc2)cc1,416.0
 *Cc1ccc(CNC(=O)CCCCCCCCCCCCCCCCCCCCC(=O)N*)cc1,225.0
 *CCCCOC(=O)CCCCCNC(=O)CCCCC(=O)NCCCCCC(=O)O*,156.0
 *CCCNC(=O)CCCCC(=O)NCCCO*,200.0
 *CCCCCNC(=O)CCCCCCCCOCCCCCCCCC(=O)NCCCCCO*,128.0
 *CCOCCOCCOc1ccc(NC(=O)c2cccc(C(=O)Nc3ccc(O*)cc3)c2)cc1,292.0
